* Project:       hupsel
* File content:  specified output data of SWAP
* File name:     hupselbrook/rswap/result_output_tz.csv
* Model version: Swap 4.2.0
* Generated at:  2023-04-21 10:03:40
*,(cm),(cm),(cm3/cm3),(g/cm3 w)
DATE,DEPTH,H,WC,CONC
2002-08-31,-32.500,-1.00807E+02, 1.77653E-01, 1.54259E+01
2002-08-31,-37.500,-9.32364E+01, 1.87355E-01, 2.13577E+01
2002-08-31,-42.500,-8.62047E+01, 1.97369E-01, 2.73108E+01
2002-08-31,-47.500,-7.95916E+01, 2.07782E-01, 3.22180E+01
2002-08-31,-52.500,-7.33135E+01, 2.18665E-01, 3.52588E+01
2002-08-31,-57.500,-6.73088E+01, 2.30070E-01, 3.60928E+01
2002-08-31,-65.000,-5.87263E+01, 2.48211E-01, 3.42582E+01
2002-08-31,-75.000,-4.78622E+01, 2.74419E-01, 2.63829E+01
2002-08-31,-85.000,-3.74210E+01, 3.02662E-01, 1.74372E+01
2002-08-31,-95.000,-2.72283E+01, 3.31520E-01, 1.01454E+01
2002-08-31,-105.000,-1.71651E+01, 3.57664E-01, 4.94952E+00
2002-08-31,-115.000,-7.15284E+00, 3.75616E-01, 1.91211E+00
2002-08-31,-125.000, 2.84716E+00, 3.80000E-01, 6.12452E-01
2002-08-31,-135.000, 1.28472E+01, 3.80000E-01, 1.58357E-01
2002-08-31,-145.000, 2.28472E+01, 3.80000E-01, 3.23549E-02
2002-08-31,-155.000, 3.28472E+01, 3.80000E-01, 5.10918E-03
2002-08-31,-165.000, 4.28472E+01, 3.80000E-01, 6.01742E-04
2002-08-31,-175.000, 5.28472E+01, 3.80000E-01, 4.97815E-05
2002-08-31,-185.000, 6.28472E+01, 3.80000E-01, 2.58172E-06
2002-08-31,-195.000, 7.28472E+01, 3.80000E-01, 6.31740E-08
2002-09-30,-.500,-1.66979E+02, 1.97507E-01, 5.96451E-01
2002-09-30,-1.500,-1.65511E+02, 1.98246E-01, 5.98562E-01
2002-09-30,-2.500,-1.64068E+02, 1.98980E-01, 6.82921E-01
2002-09-30,-3.500,-1.62652E+02, 1.99708E-01, 8.02501E-01
2002-09-30,-4.500,-1.61263E+02, 2.00431E-01, 9.42525E-01
2002-09-30,-5.500,-1.59901E+02, 2.01148E-01, 1.10487E+00
2002-09-30,-6.500,-1.58566E+02, 2.01859E-01, 1.29291E+00
2002-09-30,-7.500,-1.57256E+02, 2.02563E-01, 1.51031E+00
2002-09-30,-8.500,-1.55971E+02, 2.03261E-01, 1.76105E+00
2002-09-30,-9.500,-1.54710E+02, 2.03954E-01, 2.04902E+00
2002-09-30,-12.500,-1.51005E+02, 2.06031E-01, 3.03801E+00
2002-09-30,-17.500,-1.45243E+02, 2.09396E-01, 6.59770E+00
2002-09-30,-22.500,-1.39634E+02, 2.12838E-01, 1.35334E+01
2002-09-30,-27.500,-1.33915E+02, 2.16531E-01, 2.47114E+01
2002-09-30,-32.500,-1.27761E+02, 1.50243E-01, 3.95345E+01
2002-09-30,-37.500,-1.21247E+02, 1.56006E-01, 4.81680E+01
2002-09-30,-42.500,-1.14452E+02, 1.62555E-01, 4.96792E+01
2002-09-30,-47.500,-1.07473E+02, 1.69925E-01, 4.79157E+01
2002-09-30,-52.500,-1.00472E+02, 1.78061E-01, 4.43670E+01
2002-09-30,-57.500,-9.35892E+01, 1.86879E-01, 3.98629E+01
2002-09-30,-65.000,-8.37490E+01, 2.01117E-01, 3.24987E+01
2002-09-30,-75.000,-7.14471E+01, 2.22101E-01, 2.22846E+01
2002-09-30,-85.000,-6.00193E+01, 2.45334E-01, 1.41131E+01
2002-09-30,-95.000,-4.92324E+01, 2.70917E-01, 8.23977E+00
2002-09-30,-105.000,-3.88599E+01, 2.98634E-01, 4.26468E+00
2002-09-30,-115.000,-2.87115E+01, 3.27356E-01, 1.79551E+00
2002-09-30,-125.000,-1.86635E+01, 3.54127E-01, 6.04592E-01
2002-09-30,-135.000,-8.65342E+00, 3.73696E-01, 1.58357E-01
2002-09-30,-145.000, 1.34658E+00, 3.80000E-01, 3.23549E-02
2002-09-30,-155.000, 1.13466E+01, 3.80000E-01, 5.10918E-03
2002-09-30,-165.000, 2.13466E+01, 3.80000E-01, 6.01742E-04
2002-09-30,-175.000, 3.13466E+01, 3.80000E-01, 4.97815E-05
2002-09-30,-185.000, 4.13466E+01, 3.80000E-01, 2.58172E-06
2002-09-30,-195.000, 5.13466E+01, 3.80000E-01, 6.31740E-08
2002-10-31,-.500,-8.76665E+01, 2.55713E-01, 1.86964E-01
2002-10-31,-1.500,-8.64111E+01, 2.57086E-01, 1.88390E-01
2002-10-31,-2.500,-8.52362E+01, 2.58391E-01, 2.17097E-01
2002-10-31,-3.500,-8.41372E+01, 2.59629E-01, 2.59345E-01
2002-10-31,-4.500,-8.31098E+01, 2.60801E-01, 3.10365E-01
2002-10-31,-5.500,-8.21504E+01, 2.61910E-01, 3.61968E-01
2002-10-31,-6.500,-8.12553E+01, 2.62956E-01, 4.19599E-01
2002-10-31,-7.500,-8.04214E+01, 2.63942E-01, 4.84937E-01
2002-10-31,-8.500,-7.96456E+01, 2.64869E-01, 5.58872E-01
2002-10-31,-9.500,-7.89253E+01, 2.65737E-01, 6.42324E-01
2002-10-31,-12.500,-7.69044E+01, 2.68218E-01, 9.23982E-01
2002-10-31,-17.500,-7.47308E+01, 2.70960E-01, 1.84307E+00
2002-10-31,-22.500,-7.35138E+01, 2.72530E-01, 3.46938E+00
2002-10-31,-27.500,-7.31000E+01, 2.73070E-01, 6.04722E+00
2002-10-31,-32.500,-7.20194E+01, 2.21037E-01, 9.64358E+00
2002-10-31,-37.500,-7.04830E+01, 2.23914E-01, 1.47114E+01
2002-10-31,-42.500,-6.90738E+01, 2.26612E-01, 2.12570E+01
2002-10-31,-47.500,-6.77080E+01, 2.29280E-01, 2.86552E+01
2002-10-31,-52.500,-6.63027E+01, 2.32082E-01, 3.55226E+01
2002-10-31,-57.500,-6.47734E+01, 2.35198E-01, 4.00128E+01
2002-10-31,-65.000,-6.20532E+01, 2.40913E-01, 4.07185E+01
2002-10-31,-75.000,-5.72219E+01, 2.51623E-01, 3.04367E+01
2002-10-31,-85.000,-5.07766E+01, 2.67037E-01, 1.88230E+01
2002-10-31,-95.000,-4.28491E+01, 2.87667E-01, 1.04070E+01
2002-10-31,-105.000,-3.38596E+01, 3.12737E-01, 5.19197E+00
2002-10-31,-115.000,-2.42606E+01, 3.39696E-01, 2.16989E+00
2002-10-31,-125.000,-1.43794E+01, 3.63748E-01, 7.08268E-01
2002-10-31,-135.000,-4.39813E+00, 3.78283E-01, 1.72952E-01
2002-10-31,-145.000, 5.60187E+00, 3.80000E-01, 3.25518E-02
2002-10-31,-155.000, 1.56019E+01, 3.80000E-01, 5.10918E-03
2002-10-31,-165.000, 2.56019E+01, 3.80000E-01, 6.01742E-04
2002-10-31,-175.000, 3.56019E+01, 3.80000E-01, 4.97815E-05
2002-10-31,-185.000, 4.56019E+01, 3.80000E-01, 2.58172E-06
2002-10-31,-195.000, 5.56019E+01, 3.80000E-01, 6.31740E-08
2002-11-30,-.500,-8.71819E+01, 2.56241E-01, 4.87903E-02
2002-11-30,-1.500,-8.61261E+01, 2.57401E-01, 5.52730E-02
2002-11-30,-2.500,-8.50990E+01, 2.58545E-01, 6.59134E-02
2002-11-30,-3.500,-8.40994E+01, 2.59672E-01, 7.74450E-02
2002-11-30,-4.500,-8.31257E+01, 2.60783E-01, 8.97934E-02
